"day","T","...3"
1678.5,296.15,NA
1679.5,296.9499992,NA
1680,303.7500004,NA
1681.5,295.8500008,NA
1682,303.3500008,NA
1682.5,296.15,NA
1683.5,296.15,NA
1684,306.15,NA
1684.5,296.65,NA
1686,299.2500004,NA
1688.5,296.65,NA
1689.5,296.0499996,NA
1690,301.9499992,NA
1690.5,296.65,NA
1691.5,296.65,NA
1693.5,295.9499992,NA
1694,301.0499996,NA
1694.5,296.0499996,NA
1695,303.8500008,NA
1700,302.2500004,NA
1701,300.15,NA
1701.5,294.9499992,NA
1704.5,296.2500004,NA
1705,304.15,NA
1709.5,294.65,NA
1710.5,295.7500004,NA
1711.5,295.15,NA
1712.5,296.3500008,NA
1714.5,296.65,NA
1718.5,297.0499996,NA
1719.5,293.5499996,NA
1721.5,295.65,NA
1722.5,295.65,NA
1724.5,296.15,NA
1725.5,297.0499996,NA
1726.5,295.5499996,NA
1728.5,296.65,NA
1729.5,296.2500004,NA
1732.5,296.3500008,NA
1733.5,295.0499996,NA
1734.5,295.9499992,NA
1736.5,296.65,NA
1737.5,297.15,NA
1738.5,295.5499996,NA
1739.5,296.15,NA
1740.5,297.3500008,NA
1742.5,297.3500008,NA
1744.5,296.15,NA
1748.5,295.5499996,NA
1749.5,296.65,NA
1753.5,296.15,NA
1754.5,298.15,NA
1755.5,298.3500008,NA
1757.5,294.8500008,NA
1758.5,297.15,NA
1759.5,297.2500004,NA
1760.5,297.15,NA
1765.5,297.15,NA
1768.5,297.9499992,NA
1769.5,297.7500004,NA
1770.5,298.15,NA
1772.5,298.4499992,NA
1773.5,296.65,NA
1774.5,297.65,NA
1775.5,296.15,NA
1776.5,295.0499996,NA
1777.5,297.5499996,NA
1779.5,297.8500008,NA
1780.5,297.15,NA
1781.5,297.9499992,NA
1782.5,297.8500008,NA
1784.5,297.0499996,NA
1785.5,297.65,NA
1786.5,296.65,NA
1788.5,297.65,NA
1789.5,297.7500004,NA
1794.5,298.65,NA
1797.5,296.9499992,NA
1798.5,297.15,NA
1799.5,297.3500008,NA
1809.5,297.65,NA
1812.5,297.15,NA
1813.5,297.65,NA
1814.5,297.4499992,NA
1817.5,298.15,NA
1818.5,297.65,NA
1819.5,297.3500008,NA
1820.5,297.2500004,NA
1822.5,297.15,NA
1844,303.7500004,NA
1845,305.5500015,NA
1849,304.3500008,NA
1852.5,297.65,NA
1853,306.65,NA
1854.5,294.65,NA
1855.5,295.15,NA
1857,307.0500015,NA
1858,306.8500008,NA
1860.5,296.5499996,NA
1905.5,300.15,NA
1909,305.15,NA
1911.5,299.7500004,NA
1913,307.15,NA
1913.5,298.65,NA
1935.5,297.2500004,NA
1946.5,295.65,NA
1949.5,296.4499992,NA
1954.5,299.2500004,NA
1960,306.4499992,NA
1960.5,299.8500008,NA
1964,302.65,NA
1966,306.0500015,NA
1967,307.2499985,NA
1969,306.65,NA
1970.5,298.7500004,NA
1971,303.2500004,NA
1972,306.15,NA
1976,303.5499996,NA
1980,303.4499992,NA
1980.5,296.0499996,NA
1983.5,297.15,NA
1985.5,294.3500008,NA
1991,304.0499996,NA
1992,303.15,NA
1993.5,297.65,NA
1994,304.3500008,NA
1994.5,298.2500004,NA
1995,303.65,NA
1995.5,297.5499996,NA
1996,303.65,NA
1997.5,297.15,NA
1998.5,297.65,NA
1999.5,295.8500008,NA
2000.5,296.15,NA
2001,299.5499996,NA
2002,300.3500008,NA
2002.5,294.65,NA
2003.5,296.15,NA
2004,302.4499992,NA
2004.5,296.7500004,NA
2005,301.4499992,NA
2005.5,297.15,NA
2007,302.15,NA
2008,302.65,NA
2008.5,298.15,NA
2009.5,296.8500008,NA
2010.5,296.8500008,NA
2011,303.15,NA
2012,302.7500004,NA
2013.5,297.15,NA
2014,306.3500008,NA
2014.5,297.4499992,NA
2015.5,298.15,NA
2016.5,297.15,NA
2017.5,295.15,NA
2024,302.5499996,NA
2026.5,297.15,NA
2028,300.15,NA
2029.5,295.65,NA
2033.5,295.9499992,NA
2035.5,296.2500004,NA
2038.5,296.15,NA
2042,302.0499996,NA
2043.5,296.3500008,NA
2044,303.15,NA
2044.5,296.0499996,NA
2045.5,295.65,NA
2046,304.65,NA
2046.5,296.65,NA
2047,304.65,NA
2047.5,296.65,NA
2048.5,296.0499996,NA
2049,304.3500008,NA
2050,302.15,NA
2050.5,297.15,NA
2051,302.5499996,NA
2051.5,296.65,NA
2053,300.8500008,NA
2054,301.8500008,NA
2055.5,296.7500004,NA
2056,301.3500008,NA
2057,301.15,NA
2057.5,296.9499992,NA
2058,301.65,NA
2058.5,296.3500008,NA
2059,302.15,NA
2060,300.65,NA
2061,303.15,NA
2061.5,296.15,NA
