"day","time","latitude","longitude","T"
16623,2070-07-07,12.7225130890052,358.75,298.7391
16623.5,2070-07-07,12.7225130890052,358.75,309.91696
16624,2070-07-08,12.7225130890052,358.75,298.74185
16624.5,2070-07-08,12.7225130890052,358.75,309.67334
16625,2070-07-09,12.7225130890052,358.75,297.94672
16625.5,2070-07-09,12.7225130890052,358.75,309.47614
16626,2070-07-10,12.7225130890052,358.75,297.92468
16626.5,2070-07-10,12.7225130890052,358.75,309.8308
16627,2070-07-11,12.7225130890052,358.75,297.9437
16627.5,2070-07-11,12.7225130890052,358.75,310.16934
16628,2070-07-12,12.7225130890052,358.75,298.0263
16628.5,2070-07-12,12.7225130890052,358.75,310.12048
16629,2070-07-13,12.7225130890052,358.75,298.3236
16629.5,2070-07-13,12.7225130890052,358.75,310.54852
16630,2070-07-14,12.7225130890052,358.75,298.45462
16630.5,2070-07-14,12.7225130890052,358.75,311.4425
16631,2070-07-15,12.7225130890052,358.75,299.00003
16631.5,2070-07-15,12.7225130890052,358.75,310.9117
16632,2070-07-16,12.7225130890052,358.75,300.72336
16632.5,2070-07-16,12.7225130890052,358.75,310.2398
16633,2070-07-17,12.7225130890052,358.75,300.55038
16633.5,2070-07-17,12.7225130890052,358.75,309.99695
16634,2070-07-18,12.7225130890052,358.75,301.67908
16634.5,2070-07-18,12.7225130890052,358.75,310.213
16635,2070-07-19,12.7225130890052,358.75,298.8676
16635.5,2070-07-19,12.7225130890052,358.75,308.54227
16636,2070-07-20,12.7225130890052,358.75,296.25018
16636.5,2070-07-20,12.7225130890052,358.75,307.05618
16637,2070-07-21,12.7225130890052,358.75,296.3641
16637.5,2070-07-21,12.7225130890052,358.75,305.93677
16638,2070-07-22,12.7225130890052,358.75,295.64432
16638.5,2070-07-22,12.7225130890052,358.75,306.01746
16639,2070-07-23,12.7225130890052,358.75,294.8385
16639.5,2070-07-23,12.7225130890052,358.75,305.97916
16640,2070-07-24,12.7225130890052,358.75,294.7007
16640.5,2070-07-24,12.7225130890052,358.75,306.04276
16641,2070-07-25,12.7225130890052,358.75,294.57736
16641.5,2070-07-25,12.7225130890052,358.75,305.32465
16642,2070-07-26,12.7225130890052,358.75,293.93997
16642.5,2070-07-26,12.7225130890052,358.75,304.8622
16643,2070-07-27,12.7225130890052,358.75,293.70712
16643.5,2070-07-27,12.7225130890052,358.75,304.06165
16644,2070-07-28,12.7225130890052,358.75,293.60385
16644.5,2070-07-28,12.7225130890052,358.75,305.04056
16645,2070-07-29,12.7225130890052,358.75,293.6921
16645.5,2070-07-29,12.7225130890052,358.75,305.40436
16646,2070-07-30,12.7225130890052,358.75,293.58896
16646.5,2070-07-30,12.7225130890052,358.75,305.48358
16647,2070-07-31,12.7225130890052,358.75,293.31244
16647.5,2070-07-31,12.7225130890052,358.75,305.8737
16648,2070-08-01,12.7225130890052,358.75,293.59848
16648.5,2070-08-01,12.7225130890052,358.75,306.1257
16649,2070-08-02,12.7225130890052,358.75,293.57706
16649.5,2070-08-02,12.7225130890052,358.75,306.11176
16650,2070-08-03,12.7225130890052,358.75,293.5361
16650.5,2070-08-03,12.7225130890052,358.75,306.0648
16651,2070-08-04,12.7225130890052,358.75,293.95938
16651.5,2070-08-04,12.7225130890052,358.75,307.05997
16652,2070-08-05,12.7225130890052,358.75,296.76642
16652.5,2070-08-05,12.7225130890052,358.75,307.35452
16653,2070-08-06,12.7225130890052,358.75,295.55252
16653.5,2070-08-06,12.7225130890052,358.75,304.81894
16654,2070-08-07,12.7225130890052,358.75,294.5017
16654.5,2070-08-07,12.7225130890052,358.75,306.6397
16655,2070-08-08,12.7225130890052,358.75,293.89053
16655.5,2070-08-08,12.7225130890052,358.75,306.79047
16656,2070-08-09,12.7225130890052,358.75,293.4558
16656.5,2070-08-09,12.7225130890052,358.75,304.9626
16657,2070-08-10,12.7225130890052,358.75,292.5047
16657.5,2070-08-10,12.7225130890052,358.75,303.827
16658,2070-08-11,12.7225130890052,358.75,291.66992
16658.5,2070-08-11,12.7225130890052,358.75,303.9609
16659,2070-08-12,12.7225130890052,358.75,292.2412
16659.5,2070-08-12,12.7225130890052,358.75,304.72876
16660,2070-08-13,12.7225130890052,358.75,292.69064
16660.5,2070-08-13,12.7225130890052,358.75,305.99142
16661,2070-08-14,12.7225130890052,358.75,294.0026
16661.5,2070-08-14,12.7225130890052,358.75,306.85385
16662,2070-08-15,12.7225130890052,358.75,294.39297
16662.5,2070-08-15,12.7225130890052,358.75,307.0068
16663,2070-08-16,12.7225130890052,358.75,293.60358
16663.5,2070-08-16,12.7225130890052,358.75,306.4188
16664,2070-08-17,12.7225130890052,358.75,293.088
16664.5,2070-08-17,12.7225130890052,358.75,307.1419
16665,2070-08-18,12.7225130890052,358.75,293.90945
16665.5,2070-08-18,12.7225130890052,358.75,306.5823
16666,2070-08-19,12.7225130890052,358.75,292.86127
16666.5,2070-08-19,12.7225130890052,358.75,306.27118
16667,2070-08-20,12.7225130890052,358.75,292.9839
16667.5,2070-08-20,12.7225130890052,358.75,306.2867
16668,2070-08-21,12.7225130890052,358.75,293.26147
16668.5,2070-08-21,12.7225130890052,358.75,306.41217
16669,2070-08-22,12.7225130890052,358.75,293.6068
16669.5,2070-08-22,12.7225130890052,358.75,307.39883
16670,2070-08-23,12.7225130890052,358.75,294.32565
16670.5,2070-08-23,12.7225130890052,358.75,307.0526
16671,2070-08-24,12.7225130890052,358.75,293.45303
16671.5,2070-08-24,12.7225130890052,358.75,305.7177
16672,2070-08-25,12.7225130890052,358.75,293.912
16672.5,2070-08-25,12.7225130890052,358.75,304.20325
16673,2070-08-26,12.7225130890052,358.75,292.98807
16673.5,2070-08-26,12.7225130890052,358.75,304.5131
16674,2070-08-27,12.7225130890052,358.75,292.57785
16674.5,2070-08-27,12.7225130890052,358.75,305.3262
16675,2070-08-28,12.7225130890052,358.75,293.31934
16675.5,2070-08-28,12.7225130890052,358.75,305.07358
16676,2070-08-29,12.7225130890052,358.75,292.76883
16676.5,2070-08-29,12.7225130890052,358.75,305.3005
16677,2070-08-30,12.7225130890052,358.75,292.81046
16677.5,2070-08-30,12.7225130890052,358.75,305.19846
16678,2070-08-31,12.7225130890052,358.75,292.40793
16678.5,2070-08-31,12.7225130890052,358.75,304.62976
